round,player1,player2,answer1,answer2,points1,points2,total1,total2,psbr_strategy_p1,psbr_strategy_p2,psbr_value_low_p1,psbr_value_high_p1,psbr_value_low_p2,psbr_value_high_p2,psbr_samples,psbr_horizon,psbr_discount,psbr_sample_temperature,psbr_strategy_inference,low,high,bonus
1,openai/gpt-oss-20b,openai/gpt-oss-20b,2,100,4,0,4,0,claim_low,claim_high,40.0,38.0,175.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
2,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,104,100,claim_high,claim_high,40.0,1843.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
3,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,204,200,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
4,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,304,300,claim_high,claim_high,42.0,1940.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
5,openai/gpt-oss-20b,openai/gpt-oss-20b,100,99,97,101,401,401,claim_high,undercut_last_opp,42.0,1940.0,80.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
6,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,501,501,claim_high,claim_high,42.0,1940.0,42.0,1939.0,5,20,1.0,0.8,llm-label,2,100,2
7,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,601,601,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
8,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,701,701,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
9,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,801,801,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
10,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,901,901,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
11,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1001,1001,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
12,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1101,1101,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
13,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1201,1201,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
14,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1301,1301,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
15,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1401,1401,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
16,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1501,1501,claim_high,claim_high,42.0,1940.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
17,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1601,1601,claim_high,claim_high,42.0,1940.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
18,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1701,1701,claim_high,claim_high,42.0,2000.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
19,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1801,1801,claim_high,claim_high,42.0,2000.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
20,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,1901,1901,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
21,openai/gpt-oss-20b,openai/gpt-oss-20b,99,100,101,97,2002,1998,undercut_last_opp,claim_high,80.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
22,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2102,2098,claim_high,claim_high,42.0,1939.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
23,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2202,2198,claim_high,claim_high,42.0,2000.0,42.0,1940.0,5,20,1.0,0.8,llm-label,2,100,2
24,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2302,2298,claim_high,claim_high,42.0,1940.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
25,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2402,2398,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
26,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2502,2498,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
27,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2602,2598,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
28,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2702,2698,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
29,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2802,2798,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
30,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,2902,2898,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
31,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3002,2998,claim_high,claim_high,42.0,2000.0,42.0,2000.0,5,20,1.0,0.8,llm-label,2,100,2
32,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3102,3098,claim_high,claim_high,40.0,1900.0,40.0,1900.0,5,20,1.0,0.8,llm-label,2,100,2
33,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3202,3198,claim_high,claim_high,38.0,1800.0,38.0,1800.0,5,20,1.0,0.8,llm-label,2,100,2
34,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3302,3298,claim_high,claim_high,36.0,1649.0,36.0,1700.0,5,20,1.0,0.8,llm-label,2,100,2
35,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3402,3398,claim_high,claim_high,34.0,1600.0,34.0,1600.0,5,20,1.0,0.8,llm-label,2,100,2
36,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3502,3498,claim_high,claim_high,32.0,1500.0,32.0,1500.0,5,20,1.0,0.8,llm-label,2,100,2
37,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3602,3598,claim_high,claim_high,30.0,1400.0,30.0,1400.0,5,20,1.0,0.8,llm-label,2,100,2
38,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3702,3698,claim_high,claim_high,28.0,1300.0,28.0,1300.0,5,20,1.0,0.8,llm-label,2,100,2
39,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3802,3798,claim_high,claim_high,26.0,1200.0,26.0,1200.0,5,20,1.0,0.8,llm-label,2,100,2
40,openai/gpt-oss-20b,openai/gpt-oss-20b,100,99,97,101,3899,3899,claim_high,undercut_last_opp,24.0,1100.0,44.0,1100.0,5,20,1.0,0.8,llm-label,2,100,2
41,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,3999,3999,claim_high,claim_high,22.0,1000.0,22.0,997.0,5,20,1.0,0.8,llm-label,2,100,2
42,openai/gpt-oss-20b,openai/gpt-oss-20b,100,99,97,101,4096,4100,claim_high,undercut_last_opp,20.0,900.0,36.0,900.0,5,20,1.0,0.8,llm-label,2,100,2
43,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,4196,4200,claim_high,claim_high,18.0,800.0,18.0,797.0,5,20,1.0,0.8,llm-label,2,100,2
44,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,4296,4300,claim_high,claim_high,16.0,679.0,16.0,700.0,5,20,1.0,0.8,llm-label,2,100,2
45,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,4396,4400,claim_high,claim_high,14.0,582.0,14.0,600.0,5,20,1.0,0.8,llm-label,2,100,2
46,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,4496,4500,claim_high,claim_high,12.0,500.0,12.0,500.0,5,20,1.0,0.8,llm-label,2,100,2
47,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,4596,4600,match_last_opp,claim_high,10.0,390.0,10.0,400.0,5,20,1.0,0.8,llm-label,2,100,2
48,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,4696,4700,claim_high,claim_high,8.0,300.0,8.0,300.0,5,20,1.0,0.8,llm-label,2,100,2
49,openai/gpt-oss-20b,openai/gpt-oss-20b,100,100,100,100,4796,4800,claim_high,claim_high,6.0,200.0,6.0,200.0,5,20,1.0,0.8,llm-label,2,100,2
50,openai/gpt-oss-20b,openai/gpt-oss-20b,99,99,99,99,4895,4899,undercut_last_opp,undercut_last_opp,4.0,100.0,4.0,100.0,5,20,1.0,0.8,llm-label,2,100,2
